graph file,63_2225,113_2635,98_2483,85_2572,111_2307,168_2703,200_1935,91_2665,109_2986,116_2620,145_2999,139_2996,161_3000,99_2620,117_1938,97_2739,125_2377,97_2694,151_3000,75_3000,110_2321,133_2727,109_2839,155_3000,151_2545,106_3000,106_1413,136_3000,126_2946
detroit-department-of-transportation_20151202_1517_subgraph_tram+bus.gr.bz2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bc-transit-archiver_20130419_0317_subgraph_tram+bus.gr.bz2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
thomaskoch_20130224_1534_subgraph_tram+bus.gr.bz2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
edmonton-transit-system_20150902_0111_subgraph_train+metro+tram+bus.gr.bz2,0.3333333333333333,0.25,0.25,0.25,0.25,1.0,1.0,0.3333333333333333,0.25,0.25,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.25,1.0,1.0,0.25,0.25,0.25,0.25
orange-county-transportation-authority_20151202_1534.gr.bz2,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
psta_20151216_1523_subgraph_metro+bus.gr.bz2,0.25,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.5,0.25,0.5,0.5,0.2,0.2,0.2,0.2,0.5,0.2,0.5
emdec_20150312_1945_subgraph_bus.gr.bz2,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
bkv-zrt_20120422_0314.gr.bz2,1.0,0.2,1.0,1.0,0.2,0.2,0.2,1.0,0.2,0.2,0.2,0.2,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
timt4stic_20110831_0329_subgraph_train+metro+tram+bus.gr.bz2,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
huston_merge_2015-12.gml.lp.gr.bz2,1.0,0.125,1.0,1.0,0.125,0.09090909090909091,1.0,1.0,0.07692307692307693,0.1,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,0.09090909090909091,1.0,0.16666666666666666,1.0,0.1111111111111111,1.0,0.125,0.125,0.07692307692307693,0.14285714285714285,0.1111111111111111,0.125,0.125,0.14285714285714285,0.16666666666666666
